2026-09-24T18:04:21Z INFO Logging to /tmp/logs/update_2026-09-24T18-04-21Z.log.
2026-09-24T18:04:21Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-24T18:04:22Z INFO Processing 360 items (56167 already recorded).
2026-09-24T18:31:37Z INFO [42/360] 13548573-6b53-4d0a-bfa8-28f6dabe10da: 110 chunks; 1.0 s; peak memory 1144 MiB.
2026-09-24T18:31:43Z INFO [43/360] 1354a6e7-c14a-45f2-9524-e91f887958a5: 19505 chunks; 5.7 s; peak memory 1144 MiB.
2026-09-24T18:31:44Z INFO [44/360] 13552f75-57e8-4eb9-a11b-a64c8e47e71f: 117 chunks; 0.9 s; peak memory 1144 MiB.
2026-09-24T18:31:45Z INFO [45/360] 13557aa6-67d0-4c0f-b426-d1e691510f2b: 48 chunks; 0.8 s; peak memory 1144 MiB.
2026-09-24T18:31:51Z INFO [46/360] 13558250-827d-476e-91a0-5e785e4c4a91: 21043 chunks; 6.6 s; peak memory 1144 MiB.
2026-09-24T18:31:52Z INFO [47/360] 13566458-8c3a-412b-a510-e5f0738b30a5: 153 chunks; 0.9 s; peak memory 1144 MiB.
2026-09-24T18:31:53Z INFO [48/360] 1357a3b1-ad3f-424d-ba68-1fbc41ab731e: 118 chunks; 1.0 s; peak memory 1144 MiB.
2026-09-24T18:31:56Z INFO [49/360] 13580b84-482a-4dd7-aae9-39e351cc5da6: 3607 chunks; 2.7 s; peak memory 1144 MiB.
2026-09-24T18:31:56Z INFO [50/360] 13592204-e51a-4574-b4e2-ca5eb6b1f04e: 93 chunks; 0.5 s; peak memory 1144 MiB.
2026-09-24T18:31:57Z INFO [50/360] 13592204-e51a-4574-b4e2-ca5eb6b1f04e: checkpointed 56217 records.
2026-09-24T18:31:57Z INFO [51/360] 13597728-96b8-4162-adc6-cb4d96757c48: 118 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:31:58Z INFO [52/360] 1359dbba-3c27-4a16-be24-dd268740c3aa: 110 chunks; 1.0 s; peak memory 1144 MiB.
2026-09-24T18:31:59Z INFO [53/360] 135a25e1-c660-4de9-8b50-d00534c17b22: 112 chunks; 0.8 s; peak memory 1144 MiB.
2026-09-24T18:32:03Z INFO [54/360] 135ac248-8271-48dc-a17d-da3f91fb5a4e: 12280 chunks; 4.3 s; peak memory 1144 MiB.
2026-09-24T18:32:07Z INFO [55/360] 135b31cf-78a0-4252-8650-47d1a758246b: 2923 chunks; 3.2 s; peak memory 1144 MiB.
2026-09-24T18:32:07Z INFO [56/360] 135b433a-072f-4cfc-8f8e-926140066453: 62 chunks; 0.5 s; peak memory 1144 MiB.
2026-09-24T18:32:08Z INFO [57/360] 135d873f-bd14-488e-ad6c-5e767947df6c: 46 chunks; 0.4 s; peak memory 1144 MiB.
2026-09-24T18:32:08Z INFO [58/360] 135e8a53-9053-47ec-b879-88e98b5af2db: 110 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:32:12Z INFO [59/360] 135ea621-5f44-4b42-8e73-521081d01843: 4151 chunks; 4.1 s; peak memory 1144 MiB.
2026-09-24T18:32:13Z INFO [60/360] 135f7bf0-4b9f-45de-874a-172056846045: 52 chunks; 0.8 s; peak memory 1144 MiB.
2026-09-24T18:32:14Z INFO [61/360] 135f9756-c6bb-47d7-bc90-b09781dea543: 48 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:32:15Z INFO [62/360] 135fb9c6-093c-4427-9cd3-41bb12bc2dec: 116 chunks; 0.8 s; peak memory 1144 MiB.
2026-09-24T18:32:16Z INFO [63/360] 13612bf9-fbb3-4032-8b20-b97d98e78c69: 112 chunks; 1.1 s; peak memory 1144 MiB.
2026-09-24T18:32:16Z INFO [64/360] 13616f02-4361-478e-86d5-b56dd1b8b2b9: 116 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:32:18Z INFO [65/360] 13617848-c39b-420b-844b-5b01f89f276c: 115 chunks; 1.5 s; peak memory 1144 MiB.
2026-09-24T18:32:57Z INFO [66/360] 136244be-d3d2-4b5a-aa86-28b4e1c05c4d: 4345 chunks; 38.9 s; peak memory 1144 MiB.
2026-09-24T18:32:58Z INFO [67/360] 13626ca0-4141-4b86-b4b3-83e24fadc75e: 118 chunks; 0.9 s; peak memory 1144 MiB.
2026-09-24T18:32:58Z INFO [68/360] 1362946e-9065-4064-ae94-bb061cfb848d: 55 chunks; 0.5 s; peak memory 1144 MiB.
2026-09-24T18:32:59Z INFO [69/360] 13634d0c-86a6-47f0-8fbd-33590f38afdc: 118 chunks; 0.8 s; peak memory 1144 MiB.
2026-09-24T18:33:00Z INFO [70/360] 13646c31-dd74-4767-b67b-d5d92d236eea: 48 chunks; 0.7 s; peak memory 1144 MiB.
2026-09-24T18:33:00Z INFO [71/360] 1364a858-40d0-428d-827d-449e117692c9: 48 chunks; 0.6 s; peak memory 1144 MiB.
2026-09-24T18:33:01Z INFO [72/360] 1364e21e-bb47-405b-a1a1-e7f376ff9001: 204 chunks; 1.0 s; peak memory 1144 MiB.
2026-09-24T18:33:02Z INFO [73/360] 1364fcf5-c8ad-4720-a4f8-ec942f57c236: 76 chunks; 1.3 s; peak memory 1144 MiB.
