2026-09-25T22:58:07Z INFO Logging to /tmp/logs/update_2026-09-25T22-58-07Z.log.
2026-09-25T22:58:07Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-25T22:58:07Z INFO Processing 364 items (57656 already recorded).
2026-09-25T22:58:32Z INFO [12/364] 1668e390-c2e4-4d97-92a8-f15559fad84a: 117 chunks; 0.7 s; peak memory 168 MiB.
2026-09-25T22:58:33Z INFO [13/364] 1668e946-7db6-4bef-83a2-6bf52dcd6a79: 477 chunks; 1.5 s; peak memory 168 MiB.
2026-09-25T22:58:37Z INFO [14/364] 166978b0-4e8d-42fc-8d13-b324898e9843: 387 chunks; 3.8 s; peak memory 169 MiB.
2026-09-25T22:58:37Z INFO [15/364] 166a26b4-0c47-498b-bafc-085ceb704438: 48 chunks; 0.7 s; peak memory 169 MiB.
2026-09-25T22:58:38Z INFO [16/364] 166a3a13-7620-463f-8292-f2d68ffd2fbe: 69 chunks; 0.9 s; peak memory 169 MiB.
2026-09-25T22:58:39Z INFO [17/364] 166c3323-9f5b-44d8-9229-352a5611443f: 112 chunks; 0.9 s; peak memory 169 MiB.
2026-09-25T22:58:41Z INFO [18/364] 166c47e2-27e2-4743-a356-b7266ec54e47: 191 chunks; 1.4 s; peak memory 169 MiB.
2026-09-25T22:58:42Z INFO [19/364] 166cdc45-9c67-4395-a0ba-ab53281ba89e: 66 chunks; 1.0 s; peak memory 169 MiB.
2026-09-25T22:58:42Z INFO [20/364] 166dc103-936e-4f4f-8c61-c16b0bc1cccb: 48 chunks; 0.6 s; peak memory 169 MiB.
2026-09-25T22:58:51Z INFO [21/364] 166dd388-a1e1-4289-a9dd-b3cd0de0a095: 3620 chunks; 9.0 s; peak memory 169 MiB.
2026-09-25T22:58:52Z INFO [22/364] 166df5fa-b8c8-4ee9-8c82-c79261775529: 71 chunks; 1.2 s; peak memory 169 MiB.
2026-09-25T22:58:53Z INFO [23/364] 166e330e-ebae-4a7d-8af7-6609ecd467c7: 48 chunks; 0.6 s; peak memory 169 MiB.
2026-09-25T22:59:03Z INFO [24/364] 166ef629-5119-47b0-b908-346108f260eb: 8229 chunks; 9.9 s; peak memory 178 MiB.
2026-09-25T22:59:08Z INFO [25/364] 166f1749-7aba-4bec-8e74-0bf6fd52d5d9: 6323 chunks; 5.0 s; peak memory 178 MiB.
2026-09-25T22:59:09Z INFO [26/364] 166f772d-189d-4043-ad49-8a832706abba: 261 chunks; 0.8 s; peak memory 178 MiB.
2026-09-25T22:59:51Z INFO [27/364] 16701220-9fd6-4e43-ab87-a273f5a34afd: 26243 chunks; 41.9 s; peak memory 408 MiB.
2026-09-25T22:59:51Z INFO [28/364] 1671305d-5f06-4e92-88e4-c01df527f5f1: 112 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T22:59:52Z INFO [29/364] 1671930e-7f1a-4688-9d1b-a0228e6da5d2: 69 chunks; 0.7 s; peak memory 408 MiB.
2026-09-25T22:59:53Z INFO [30/364] 1671a889-dc1a-4aa4-9334-0c69b44cd4cc: 48 chunks; 0.7 s; peak memory 408 MiB.
2026-09-25T22:59:54Z INFO [31/364] 16720de1-9fec-4c34-88d2-855d1c113c2a: 152 chunks; 1.1 s; peak memory 408 MiB.
2026-09-25T23:00:03Z INFO [32/364] 16721c0d-d308-45bf-979f-e54ba9dc7dc6: 2983 chunks; 9.2 s; peak memory 408 MiB.
2026-09-25T23:00:06Z INFO [33/364] 167236f3-05e8-49a6-82ce-ecca510bbc47: 676 chunks; 3.1 s; peak memory 408 MiB.
2026-09-25T23:00:07Z INFO [34/364] 1672aaf4-f538-4dd5-96ba-97d90dcc0df5: 117 chunks; 0.7 s; peak memory 408 MiB.
2026-09-25T23:00:26Z INFO [35/364] 1672dfee-d6e5-49f4-a007-f0c86603bbcd: 8233 chunks; 19.5 s; peak memory 408 MiB.
2026-09-25T23:00:27Z INFO [36/364] 16730fdd-7eb0-464a-9e0e-07f8f8af69a8: 118 chunks; 0.8 s; peak memory 408 MiB.
2026-09-25T23:00:30Z INFO [37/364] 1673c516-371a-4306-a03c-eeef66e6c409: 2119 chunks; 2.9 s; peak memory 408 MiB.
2026-09-25T23:00:31Z INFO [38/364] 1674f4d9-a6c0-42b9-93d2-f20eacf4309c: 69 chunks; 1.1 s; peak memory 408 MiB.
2026-09-25T23:00:31Z INFO [39/364] 1674fca4-111d-469d-8926-c8d71c0bd171: 46 chunks; 0.4 s; peak memory 408 MiB.
2026-09-25T23:00:32Z INFO [40/364] 167536fa-c470-4648-af07-1ecb7fc7c0b3: 64 chunks; 0.5 s; peak memory 408 MiB.
2026-09-25T23:00:33Z INFO [41/364] 167567aa-6a76-4a62-a0fe-7ca39ecf2f3d: 115 chunks; 0.7 s; peak memory 408 MiB.
2026-09-25T23:00:33Z INFO [42/364] 16757c84-a7f2-43ec-9ff7-4fa56e54bcd4: 50 chunks; 0.5 s; peak memory 408 MiB.
2026-09-25T23:00:34Z INFO [43/364] 1675c35a-e975-481c-a296-3829715bcffc: 150 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T23:00:34Z INFO [44/364] 16766822-138c-48c7-b34d-132f8d18d915: 112 chunks; 0.5 s; peak memory 408 MiB.
2026-09-25T23:00:35Z INFO [45/364] 1676a7fa-1e4d-454e-8abf-60bed478d3e1: 48 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T23:00:42Z INFO [46/364] 1676ad92-dd7f-4a57-9803-d525f0bfadf3: 2161 chunks; 7.4 s; peak memory 408 MiB.
2026-09-25T23:00:43Z INFO [47/364] 16777f13-f984-474d-93b1-c3b831d8ae99: 46 chunks; 0.4 s; peak memory 408 MiB.
2026-09-25T23:00:44Z INFO [48/364] 1678433d-8748-465e-88ed-6d44aa043dd3: 57 chunks; 1.1 s; peak memory 408 MiB.
2026-09-25T23:00:45Z INFO [49/364] 16784e36-8f8e-43e8-b1f9-ca314f554c7d: 51 chunks; 0.8 s; peak memory 408 MiB.
2026-09-25T23:00:45Z INFO [50/364] 1678aee2-233e-4cda-a18a-7a3a53f1a544: 46 chunks; 0.5 s; peak memory 408 MiB.
2026-09-25T23:00:45Z INFO [50/364] 1678aee2-233e-4cda-a18a-7a3a53f1a544: checkpointed 57706 records.
2026-09-25T23:00:46Z INFO [51/364] 1678f78e-3ef5-403a-bd24-4cc1b26030a8: 48 chunks; 0.8 s; peak memory 408 MiB.
2026-09-25T23:00:47Z INFO [52/364] 167921c6-88a6-42f2-8a91-f4371348aa4d: 48 chunks; 0.5 s; peak memory 408 MiB.
2026-09-25T23:00:48Z INFO [53/364] 16792f1f-a7e3-4b36-a6eb-a5cb815255f8: 78 chunks; 1.4 s; peak memory 408 MiB.
2026-09-25T23:00:48Z INFO [54/364] 167944d0-cc77-4bcb-ab89-24f2cf81471f: 116 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T23:00:49Z INFO [55/364] 167994dd-f793-4138-8f53-e2cd25b68ae0: 65 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T23:00:50Z INFO [56/364] 1679c7aa-0c80-45ab-b9b4-471b7bef6f41: 46 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T23:00:51Z INFO [57/364] 167a0ae8-3a03-4aa4-a76a-b3457f76c249: 74 chunks; 1.1 s; peak memory 408 MiB.
2026-09-25T23:00:52Z INFO [58/364] 167a1c31-b4f3-4964-be70-b078be7f7baa: 64 chunks; 0.9 s; peak memory 408 MiB.
2026-09-25T23:00:52Z INFO [59/364] 167a71ea-c67e-42b1-b0ba-66c36cacc32f: 108 chunks; 0.6 s; peak memory 408 MiB.
2026-09-25T23:00:53Z INFO [60/364] 167ad10b-909e-4970-853c-dc0008e19c34: 74 chunks; 0.3 s; peak memory 408 MiB.
