2026-09-22T22:32:42Z INFO Logging to /tmp/logs/update_2026-09-22T22-32-42Z.log.
2026-09-22T22:32:42Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-22T22:32:43Z INFO Processing 351 items (54324 already recorded).
2026-09-22T22:34:58Z INFO [16/351] 0f881b26-889e-4c41-a94f-80d9c9b41cba: 66 chunks; 1.4 s; peak memory 296 MiB.
2026-09-22T22:35:00Z INFO [17/351] 0f88898e-19fc-4478-be8c-9f7a624bf212: 182 chunks; 2.7 s; peak memory 296 MiB.
2026-09-22T22:35:02Z INFO [18/351] 0f889cc8-8514-461d-8f22-cdc8015da876: 62 chunks; 1.3 s; peak memory 296 MiB.
2026-09-22T22:35:03Z INFO [19/351] 0f88f324-719e-4325-bda1-8f11a62ecfa2: 48 chunks; 1.1 s; peak memory 296 MiB.
2026-09-22T22:35:11Z INFO [20/351] 0f890585-8e8f-4076-a1ae-4c4af7cbd25d: 30290 chunks; 8.1 s; peak memory 298 MiB.
2026-09-22T22:35:12Z INFO [21/351] 0f89e65b-4a24-4900-bfa4-212ec38623ae: 48 chunks; 1.1 s; peak memory 298 MiB.
2026-09-22T22:35:17Z INFO [22/351] 0f8a1370-5d27-4ca1-aae8-63e467b2f048: 9013 chunks; 5.3 s; peak memory 298 MiB.
2026-09-22T22:35:18Z INFO [23/351] 0f8a3b6a-c7ad-448e-a134-cb75d5bc554f: 48 chunks; 1.0 s; peak memory 298 MiB.
2026-09-22T22:35:19Z INFO [24/351] 0f8a6a41-8c63-42b1-9a27-de9d63f8aa70: 48 chunks; 1.0 s; peak memory 298 MiB.
2026-09-22T22:35:21Z INFO [25/351] 0f8adec4-2cf7-4ee0-af98-f31aee169d9e: 112 chunks; 1.6 s; peak memory 298 MiB.
2026-09-22T22:35:22Z INFO [26/351] 0f8ae877-0e36-4b06-933c-33fac9b862be: 112 chunks; 1.4 s; peak memory 298 MiB.
2026-09-22T22:35:23Z INFO [27/351] 0f8b01e9-e614-4005-9773-76e8f2db8cad: 118 chunks; 1.3 s; peak memory 298 MiB.
2026-09-22T22:35:34Z INFO [28/351] 0f8b4e93-297b-41cd-a771-8805523c140c: 16477 chunks; 10.6 s; peak memory 298 MiB.
2026-09-22T22:35:35Z INFO [29/351] 0f8bc91c-0303-4530-928c-f92837119f22: 112 chunks; 1.2 s; peak memory 298 MiB.
