2026-09-21T20:43:17Z INFO Logging to /tmp/logs/update_2026-09-21T20-43-17Z.log.
2026-09-21T20:43:17Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-21T20:43:17Z INFO Processing 356 items (52864 already recorded).
2026-09-21T20:46:57Z INFO [41/356] 0c96bf7d-c763-4601-bc5d-01c4b3ef101a: 44 chunks; 1.0 s; peak memory 253 MiB.
2026-09-21T20:46:59Z INFO [42/356] 0c96ea05-15c3-4387-b5d9-735c04689f40: 117 chunks; 1.8 s; peak memory 253 MiB.
2026-09-21T20:47:00Z INFO [43/356] 0c975e47-fdf6-4ae6-8011-59f1445a8cca: 55 chunks; 1.3 s; peak memory 253 MiB.
2026-09-21T20:47:02Z INFO [44/356] 0c97d371-ec3f-4a9c-a433-c2fd88ad6068: 48 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:47:03Z INFO [45/356] 0c992412-8d38-413e-981a-bb7daf8ea8e4: 35 chunks; 1.1 s; peak memory 253 MiB.
2026-09-21T20:47:56Z INFO [46/356] 0c99a0b4-003a-4b91-ac0a-bda9d63d6e92: 13382 chunks; 52.8 s; peak memory 253 MiB.
2026-09-21T20:47:57Z INFO [47/356] 0c99acec-19ba-4394-83b8-0b913038d95d: 114 chunks; 1.5 s; peak memory 253 MiB.
2026-09-21T20:48:00Z INFO [48/356] 0c9a0559-758d-4705-b2d9-831caf3e22c2: 119 chunks; 2.5 s; peak memory 253 MiB.
2026-09-21T20:48:01Z INFO [49/356] 0c9b3800-ac4e-4341-addb-7a92573a2b21: 46 chunks; 1.0 s; peak memory 253 MiB.
2026-09-21T20:48:03Z INFO [50/356] 0c9b9e53-44d5-4a91-98ac-91d648b0163c: 69 chunks; 2.0 s; peak memory 253 MiB.
2026-09-21T20:48:03Z INFO [50/356] 0c9b9e53-44d5-4a91-98ac-91d648b0163c: checkpointed 52914 records.
2026-09-21T20:48:05Z INFO [51/356] 0c9c8dde-fa17-4a78-8cda-c1b7df8779de: 124 chunks; 2.6 s; peak memory 253 MiB.
2026-09-21T20:48:08Z INFO [52/356] 0c9d001e-c43d-45c7-b6fe-d1af429a52a4: 71 chunks; 2.2 s; peak memory 253 MiB.
2026-09-21T20:48:09Z INFO [53/356] 0c9d1ef4-f138-43f9-abc7-494438ecc23d: 52 chunks; 1.5 s; peak memory 253 MiB.
2026-09-21T20:48:10Z INFO [54/356] 0c9d9838-b9c7-46f0-8575-130e736964a0: 48 chunks; 1.3 s; peak memory 253 MiB.
2026-09-21T20:48:12Z INFO [55/356] 0c9e5114-b5e3-4a99-ba2d-5c3aba49be2e: 110 chunks; 1.6 s; peak memory 253 MiB.
2026-09-21T20:48:13Z INFO [56/356] 0c9e8607-8d70-46da-aa33-116ed04e5af7: 48 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:48:14Z INFO [57/356] 0c9ed46f-7820-4c98-bc18-249a1bc5651b: 31 chunks; 1.0 s; peak memory 253 MiB.
2026-09-21T20:48:16Z INFO [58/356] 0c9efdd2-12a5-4500-8a9d-a8365efac770: 110 chunks; 2.0 s; peak memory 253 MiB.
2026-09-21T20:48:18Z INFO [59/356] 0c9f1c15-311d-411d-8f2b-bb1bb79941b3: 62 chunks; 1.2 s; peak memory 253 MiB.
2026-09-21T20:48:19Z INFO [60/356] 0c9f1e96-ed7b-44a5-b2a3-7a1f2977bd5d: 68 chunks; 1.6 s; peak memory 253 MiB.
2026-09-21T20:48:21Z INFO [61/356] 0ca13239-b128-459e-887c-cfb6a615a7f8: 48 chunks; 1.3 s; peak memory 253 MiB.
2026-09-21T20:48:22Z INFO [62/356] 0ca1af61-a340-470b-af55-f682ab89c4f9: 114 chunks; 1.5 s; peak memory 253 MiB.
2026-09-21T20:48:24Z INFO [63/356] 0ca2789d-d620-4874-afaa-ea7928aafe8c: 549 chunks; 2.0 s; peak memory 253 MiB.
2026-09-21T20:48:38Z INFO [64/356] 0ca2aae7-becb-4500-9745-bcfbba902c5e: 12402 chunks; 14.1 s; peak memory 253 MiB.
2026-09-21T20:48:39Z INFO [65/356] 0ca30142-13c5-4aa0-8588-7212ff6ba0a4: 45 chunks; 1.1 s; peak memory 253 MiB.
2026-09-21T20:48:46Z INFO [66/356] 0ca44c75-0ffa-4795-a239-5faf26c3276c: 579 chunks; 6.6 s; peak memory 253 MiB.
2026-09-21T20:48:48Z INFO [67/356] 0ca478d2-3906-4172-8c06-d7691e51a7ee: 66 chunks; 2.0 s; peak memory 253 MiB.
2026-09-21T20:49:02Z INFO [68/356] 0ca489dc-8c49-4444-a3ca-5298b181c683: 26768 chunks; 14.5 s; peak memory 253 MiB.
2026-09-21T20:49:03Z INFO [69/356] 0ca583e0-5190-4d42-b56b-79a77480d764: 35 chunks; 1.0 s; peak memory 253 MiB.
2026-09-21T20:49:04Z INFO [70/356] 0ca5d8b2-d4cb-4372-81be-b3976818ef64: 46 chunks; 1.0 s; peak memory 253 MiB.
2026-09-21T20:49:06Z INFO [71/356] 0ca66fab-77c9-434c-bcbb-088dc4618c90: 48 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:49:07Z INFO [72/356] 0ca6803e-c0a6-49f8-b5fc-a1820abce9e5: 48 chunks; 1.3 s; peak memory 253 MiB.
2026-09-21T20:49:08Z INFO [73/356] 0ca6a9b7-e2da-4fbb-ac9f-82e7df213443: 48 chunks; 1.4 s; peak memory 253 MiB.
2026-09-21T20:49:10Z INFO [74/356] 0ca6af8a-dcaf-4580-9127-0b712b8a88df: 117 chunks; 1.6 s; peak memory 253 MiB.
2026-09-21T20:49:16Z INFO [75/356] 0ca7df4c-e21f-4188-b3bc-b2e2e8cb3115: 3348 chunks; 5.6 s; peak memory 253 MiB.
2026-09-21T20:49:18Z INFO [76/356] 0ca7f883-3a3f-4087-8d0c-029c8e98ee37: 112 chunks; 2.0 s; peak memory 253 MiB.
