2026-09-17T12:53:54Z INFO Logging to /tmp/logs/update_2026-09-17T12-53-54Z.log.
2026-09-17T12:53:54Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-17T12:53:55Z INFO Processing 385 items (48028 already recorded).
2026-09-17T12:58:08Z INFO [50/385] 02695368-ec1f-4f6f-a065-17083377175a: 48 chunks; 1.2 s; peak memory 318 MiB.
2026-09-17T12:58:08Z INFO [50/385] 02695368-ec1f-4f6f-a065-17083377175a: checkpointed 48078 records.
2026-09-17T12:58:10Z INFO [51/385] 02698ca0-93ef-495e-9c98-10c2514fa4aa: 48 chunks; 1.2 s; peak memory 318 MiB.
2026-09-17T12:58:11Z INFO [52/385] 026999f7-a034-4207-b483-9a840d0cd8d5: 112 chunks; 1.8 s; peak memory 318 MiB.
2026-09-17T12:58:12Z INFO [53/385] 026a656d-cab6-489b-963c-dca1fa70da99: 51 chunks; 0.9 s; peak memory 318 MiB.
2026-09-17T12:58:14Z INFO [54/385] 026aaef8-a741-49ee-8a08-da1a27af227c: 57 chunks; 1.2 s; peak memory 318 MiB.
2026-09-17T12:58:17Z INFO [55/385] 026ae42b-9345-40e0-943c-c33cbdf5d4f1: 118 chunks; 3.0 s; peak memory 318 MiB.
2026-09-17T12:58:18Z INFO [56/385] 026bebbd-e167-464d-b71c-0170734b09f4: 112 chunks; 1.6 s; peak memory 318 MiB.
2026-09-17T12:58:20Z INFO [57/385] 026c0e13-b0f0-4143-8074-a3fbae51024a: 116 chunks; 1.6 s; peak memory 318 MiB.
2026-09-17T12:58:22Z INFO [58/385] 026da8fc-01fd-4c50-b931-7513bb92e3d5: 112 chunks; 2.1 s; peak memory 318 MiB.
2026-09-17T12:58:23Z INFO [59/385] 026ea2d4-80b0-4dfa-87c6-91467b5d7456: 48 chunks; 1.2 s; peak memory 318 MiB.
2026-09-17T12:58:24Z INFO [60/385] 026ed2c0-0267-405b-a443-f610055369b3: 117 chunks; 1.5 s; peak memory 318 MiB.
2026-09-17T12:58:26Z INFO [61/385] 026edd41-d5c4-4eb9-bce6-aec2b28d3adb: 46 chunks; 1.5 s; peak memory 318 MiB.
2026-09-17T12:58:27Z INFO [62/385] 026f2545-e025-438d-a346-5a83ea2623ea: 119 chunks; 1.1 s; peak memory 318 MiB.
2026-09-17T12:58:30Z INFO [63/385] 026f8d08-f603-4e70-9471-3b1a17034aec: 1061 chunks; 2.9 s; peak memory 318 MiB.
2026-09-17T12:58:32Z INFO [64/385] 0270603b-3fb5-40e3-a96a-85e60f4e1baf: 112 chunks; 1.7 s; peak memory 318 MiB.
2026-09-17T12:58:34Z INFO [65/385] 027104dc-4a1a-426e-88a0-b0b00153dbb0: 997 chunks; 2.6 s; peak memory 318 MiB.
2026-09-17T12:58:36Z INFO [66/385] 02717735-65c6-4ae7-8b49-305d3830a819: 117 chunks; 1.5 s; peak memory 318 MiB.
2026-09-17T12:58:38Z INFO [67/385] 02718419-2ed3-4aed-ba52-394f6e32bcd7: 71 chunks; 2.6 s; peak memory 318 MiB.
2026-09-17T12:58:40Z INFO [68/385] 0272af92-c8e8-49c5-8603-fe47a19522bb: 230 chunks; 1.5 s; peak memory 318 MiB.
2026-09-17T12:58:42Z INFO [69/385] 02732f18-5297-49be-9cdb-5ec2e5b3b8b4: 99 chunks; 1.9 s; peak memory 318 MiB.
2026-09-17T12:58:43Z INFO [70/385] 027397dd-2162-47ac-9f65-0ddfd6b69879: 66 chunks; 1.7 s; peak memory 318 MiB.
2026-09-17T12:58:45Z INFO [71/385] 02740701-1f67-45e0-b2a4-a7cbe7e62464: 117 chunks; 1.4 s; peak memory 318 MiB.
2026-09-17T12:58:47Z INFO [72/385] 02743f50-6873-4dc0-b940-b80dc244fbe9: 112 chunks; 1.9 s; peak memory 318 MiB.
2026-09-17T12:58:48Z INFO [73/385] 0275742a-fb13-4fd0-9feb-48a961e8ef61: 41 chunks; 1.1 s; peak memory 318 MiB.
2026-09-17T12:58:49Z INFO [74/385] 02757e50-e816-4a32-a8ef-3952a3ec217c: 146 chunks; 1.3 s; peak memory 318 MiB.
2026-09-17T12:58:59Z INFO [75/385] 0275dffb-2b13-4531-95aa-7d40f528b451: 11639 chunks; 9.9 s; peak memory 318 MiB.
2026-09-17T12:59:05Z INFO [76/385] 02777391-5056-4835-a6d1-b32817d184ca: 516 chunks; 5.7 s; peak memory 318 MiB.
2026-09-17T12:59:06Z INFO [77/385] 0277c3fb-65b1-447b-b711-518f85f30f7d: 48 chunks; 1.2 s; peak memory 318 MiB.
