2026-09-20T22:03:17Z INFO Logging to /tmp/logs/update_2026-09-20T22-03-17Z.log.
2026-09-20T22:03:17Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-20T22:03:17Z INFO Processing 369 items (52128 already recorded).
2026-09-20T22:05:07Z INFO [29/369] 0b0bd7b2-3fa6-4d32-a5eb-8495395da999: 51 chunks; 1.6 s; peak memory 189 MiB.
2026-09-20T22:05:08Z INFO [30/369] 0b0bd9a1-6f50-4c90-907c-306fd9187661: 101 chunks; 1.1 s; peak memory 189 MiB.
2026-09-20T22:05:09Z INFO [31/369] 0b0c6671-c22e-4613-8cd7-c75f600eceb0: 118 chunks; 1.5 s; peak memory 189 MiB.
2026-09-20T22:05:11Z INFO [32/369] 0b0ca92b-dfc9-420c-b29e-ecf1ae5ecad8: 48 chunks; 1.3 s; peak memory 189 MiB.
2026-09-20T22:05:12Z INFO [33/369] 0b0d2cc5-42e9-4826-8202-9913dc61933d: 48 chunks; 1.3 s; peak memory 189 MiB.
2026-09-20T22:05:13Z INFO [34/369] 0b0dc8fe-6e5b-4933-8da2-ef3de24f6d83: 117 chunks; 1.6 s; peak memory 189 MiB.
2026-09-20T22:05:15Z INFO [35/369] 0b0dd946-873a-451c-ae8a-7184d4b911d7: 84 chunks; 1.8 s; peak memory 189 MiB.
2026-09-20T22:05:17Z INFO [36/369] 0b0edf71-57f7-4725-856d-722f65502c7a: 111 chunks; 2.1 s; peak memory 189 MiB.
2026-09-20T22:05:20Z INFO [37/369] 0b0f4166-271e-414b-be4e-db992084061c: 168 chunks; 3.1 s; peak memory 189 MiB.
2026-09-20T22:05:24Z INFO [38/369] 0b108be4-36a3-4958-bb10-b53232fbc0e8: 90 chunks; 3.2 s; peak memory 189 MiB.
2026-09-20T22:05:25Z INFO [39/369] 0b111e3f-8262-4c16-ae03-22db6f76a2c8: 48 chunks; 1.4 s; peak memory 189 MiB.
2026-09-20T22:05:30Z INFO [40/369] 0b11297d-fad3-4394-9830-fb738400580e: 388 chunks; 5.3 s; peak memory 189 MiB.
2026-09-20T22:05:33Z INFO [41/369] 0b11cf19-6b8a-4885-864c-3831252faeeb: 117 chunks; 3.2 s; peak memory 189 MiB.
2026-09-20T22:05:36Z INFO [42/369] 0b12375f-9b5f-4c6c-b06c-5c68df38f91d: 110 chunks; 2.2 s; peak memory 189 MiB.
2026-09-20T22:05:38Z INFO [43/369] 0b130a84-f9ef-4fa7-b7f8-1316775f8797: 76 chunks; 2.2 s; peak memory 189 MiB.
2026-09-20T22:05:40Z INFO [44/369] 0b132fe0-e035-4bc3-8ee8-97922da91591: 113 chunks; 1.9 s; peak memory 189 MiB.
2026-09-20T22:05:58Z INFO [45/369] 0b13567f-e19a-4f7a-879b-ef79a1a4e435: 5715 chunks; 18.4 s; peak memory 189 MiB.
2026-09-20T22:06:00Z INFO [46/369] 0b13b022-ba1f-4d3b-ad99-dc7c00bc83c6: 116 chunks; 1.7 s; peak memory 189 MiB.
2026-09-20T22:06:17Z INFO [47/369] 0b13fd06-a888-45d3-ab8d-c462c6d4078f: 30188 chunks; 16.9 s; peak memory 202 MiB.
2026-09-20T22:06:26Z INFO [48/369] 0b140668-8aef-47bd-984a-57d5dc37fec1: 4376 chunks; 9.3 s; peak memory 202 MiB.
2026-09-20T22:06:28Z INFO [49/369] 0b140c93-49c9-4815-ad98-a47e04df9969: 118 chunks; 1.5 s; peak memory 202 MiB.
2026-09-20T22:06:38Z INFO [50/369] 0b144ccd-9078-4bae-abb8-c58784bffaca: 9723 chunks; 10.7 s; peak memory 202 MiB.
2026-09-20T22:06:38Z INFO [50/369] 0b144ccd-9078-4bae-abb8-c58784bffaca: checkpointed 52178 records.
2026-09-20T22:06:40Z INFO [51/369] 0b14a359-d461-4b79-a076-04fda88e2892: 118 chunks; 1.7 s; peak memory 202 MiB.
2026-09-20T22:06:42Z INFO [52/369] 0b153acc-e280-4929-9436-20d76beff624: 68 chunks; 1.7 s; peak memory 202 MiB.
2026-09-20T22:07:01Z INFO [53/369] 0b153bdd-926e-41ee-b193-9621feefcea2: 6126 chunks; 19.6 s; peak memory 202 MiB.
2026-09-20T22:07:03Z INFO [54/369] 0b168f2a-3ba4-4292-99d2-e4ea750ee6bb: 116 chunks; 1.7 s; peak memory 202 MiB.
2026-09-20T22:07:04Z INFO [55/369] 0b170191-8357-4511-bb30-96428a1f3717: 48 chunks; 1.2 s; peak memory 202 MiB.
2026-09-20T22:07:31Z INFO [56/369] 0b1737ed-bdd4-48d0-b0df-5daf258a171b: 4572 chunks; 26.6 s; peak memory 202 MiB.
2026-09-20T22:07:32Z INFO [57/369] 0b1751d9-c838-45e0-bcd7-00b485df86cb: 117 chunks; 1.5 s; peak memory 202 MiB.
2026-09-20T22:07:40Z INFO [58/369] 0b17d3eb-7c09-4746-8039-460fd8899511: 2923 chunks; 7.1 s; peak memory 202 MiB.
2026-09-20T22:07:46Z INFO [59/369] 0b1915eb-ea6c-4bc7-8110-b235ad1ac4c3: 3794 chunks; 6.7 s; peak memory 202 MiB.
2026-09-20T22:07:58Z INFO [60/369] 0b1918db-80bd-4295-ae37-1b07e7f952e2: 1053 chunks; 11.6 s; peak memory 202 MiB.
2026-09-20T22:07:59Z INFO [61/369] 0b195e2a-f0a1-4078-b28c-4f38c40081a1: 48 chunks; 1.3 s; peak memory 202 MiB.
2026-09-20T22:08:01Z INFO [62/369] 0b19f873-f537-4388-87bf-ee8622c0e4b5: 66 chunks; 1.9 s; peak memory 202 MiB.
2026-09-20T22:08:04Z INFO [63/369] 0b1a420d-17c3-410d-aba1-89fd9d46f36a: 90 chunks; 3.1 s; peak memory 202 MiB.
2026-09-20T22:08:06Z INFO [64/369] 0b1a66b8-0bd0-4d95-b240-21c6d3d6500c: 116 chunks; 1.8 s; peak memory 202 MiB.
2026-09-20T22:08:07Z INFO [65/369] 0b1b8f06-b25e-4206-b69e-11f241e40fca: 42 chunks; 1.2 s; peak memory 202 MiB.
2026-09-20T22:08:08Z INFO [66/369] 0b1caea8-ffb5-4062-816f-307577a45c63: 48 chunks; 1.1 s; peak memory 202 MiB.
2026-09-20T22:08:15Z INFO [67/369] 0b1d9622-7cd1-4ad0-ac68-c080c27b14e5: 168 chunks; 6.4 s; peak memory 202 MiB.
2026-09-20T22:08:16Z INFO [68/369] 0b1d98f8-70d5-436c-8a66-aa64ad11ee1d: 46 chunks; 1.1 s; peak memory 202 MiB.
2026-09-20T22:08:17Z INFO [69/369] 0b1f5481-f006-400d-9671-8594365359b8: 33 chunks; 1.0 s; peak memory 202 MiB.
2026-09-20T22:08:26Z INFO [70/369] 0b1fff1c-d192-4be1-b10b-6d4a4eb1dfd6: 23766 chunks; 9.6 s; peak memory 202 MiB.
2026-09-20T22:08:28Z INFO [71/369] 0b207236-a71f-4baf-b90e-d4c31160d487: 110 chunks; 1.8 s; peak memory 202 MiB.
2026-09-20T22:08:30Z INFO [72/369] 0b20bc75-27be-46b6-bf35-3f4b37f35f31: 69 chunks; 2.2 s; peak memory 202 MiB.
2026-09-20T22:08:32Z INFO [73/369] 0b21c438-12d7-43f8-8222-5c9ca072db27: 118 chunks; 1.7 s; peak memory 202 MiB.
2026-09-20T22:08:42Z INFO [74/369] 0b22a1f3-d4cc-4e1a-ae28-9f2a54233e84: 2936 chunks; 9.7 s; peak memory 202 MiB.
2026-09-20T22:08:43Z INFO [75/369] 0b240139-7927-4c15-9841-602f3634a00a: 72 chunks; 1.7 s; peak memory 202 MiB.
2026-09-20T22:08:45Z INFO [76/369] 0b2574bf-156c-4870-b981-86d84ebe7262: 116 chunks; 1.6 s; peak memory 202 MiB.
2026-09-20T22:08:48Z INFO [77/369] 0b26edd8-7f95-4ec6-ad75-f09e34ebb64e: 119 chunks; 2.6 s; peak memory 202 MiB.
