2026-09-18T22:04:27Z INFO Logging to /tmp/logs/update_2026-09-18T22-04-27Z.log.
2026-09-18T22:04:27Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-18T22:04:27Z INFO Processing 369 items (49898 already recorded).
2026-09-18T22:05:20Z INFO [41/369] 066081a4-b69c-4808-8a43-f724d8633f14: 69 chunks; 1.1 s; peak memory 169 MiB.
2026-09-18T22:05:21Z INFO [42/369] 0660ec7d-23c8-474c-b720-b5c0fc78d01b: 117 chunks; 0.8 s; peak memory 169 MiB.
2026-09-18T22:05:25Z INFO [43/369] 06619f0a-40a6-401e-853f-7a31f3f096e8: 579 chunks; 4.2 s; peak memory 169 MiB.
2026-09-18T22:05:26Z INFO [44/369] 0661b2f2-3fb4-437d-9e9b-66e727a0f45d: 48 chunks; 0.6 s; peak memory 169 MiB.
2026-09-18T22:05:28Z INFO [45/369] 0661c340-d589-40bb-ab5d-c225a5c504c3: 165 chunks; 1.8 s; peak memory 169 MiB.
2026-09-18T22:05:29Z INFO [46/369] 0661f13e-7eff-4247-aa95-2eae7b0c3960: 71 chunks; 1.3 s; peak memory 169 MiB.
2026-09-18T22:05:29Z INFO [47/369] 066263e7-9b25-402b-aa7d-f0458407b1f1: 50 chunks; 0.5 s; peak memory 169 MiB.
2026-09-18T22:05:30Z INFO [48/369] 0662a888-4665-4c5f-b2d8-838b3566f9ae: 52 chunks; 0.7 s; peak memory 169 MiB.
2026-09-18T22:05:31Z INFO [49/369] 066302da-48a8-4bb6-99ef-073175c3fbff: 52 chunks; 0.7 s; peak memory 169 MiB.
2026-09-18T22:05:31Z INFO [50/369] 066333ef-182a-43fa-81fb-88e3b616d707: 46 chunks; 0.5 s; peak memory 169 MiB.
2026-09-18T22:05:32Z INFO [50/369] 066333ef-182a-43fa-81fb-88e3b616d707: checkpointed 49948 records.
2026-09-18T22:05:32Z INFO [51/369] 06639d76-dba2-41b8-960e-a7f021ec0264: 45 chunks; 0.5 s; peak memory 169 MiB.
2026-09-18T22:05:34Z INFO [52/369] 0664090e-391b-4336-8e54-6cd92ca0346c: 119 chunks; 1.8 s; peak memory 169 MiB.
2026-09-18T22:05:35Z INFO [53/369] 0664def5-43fb-4126-81ef-eb5ac37952d4: 77 chunks; 0.7 s; peak memory 169 MiB.
2026-09-18T22:05:35Z INFO [54/369] 0665065c-e427-442e-a315-42233a9d6984: 118 chunks; 0.8 s; peak memory 169 MiB.
2026-09-18T22:05:36Z INFO [55/369] 06651b7f-133b-43aa-b4ff-c8ccd271b49a: 66 chunks; 1.0 s; peak memory 169 MiB.
2026-09-18T22:05:42Z INFO [56/369] 0665772e-6147-4057-85be-8caf934b2975: 20140 chunks; 5.4 s; peak memory 186 MiB.
2026-09-18T22:05:42Z INFO [57/369] 0666c67b-5338-44f1-a199-0f9fe1341f43: 46 chunks; 0.5 s; peak memory 186 MiB.
2026-09-18T22:05:43Z INFO [58/369] 0666f5c2-5991-4cf5-afca-cc7131fd81af: 46 chunks; 0.6 s; peak memory 186 MiB.
2026-09-18T22:05:44Z INFO [59/369] 0668b06a-e095-41aa-9a5d-634035f9be47: 117 chunks; 0.9 s; peak memory 186 MiB.
2026-09-18T22:05:45Z INFO [60/369] 06696c11-d9c4-4b98-b994-1e0cc198140d: 112 chunks; 1.0 s; peak memory 186 MiB.
2026-09-18T22:05:46Z INFO [61/369] 0669daa2-eefb-4ffc-9e52-37fea0a92681: 118 chunks; 0.8 s; peak memory 186 MiB.
2026-09-18T22:05:47Z INFO [62/369] 066a734a-f816-4392-aedf-414b4cc0996f: 117 chunks; 1.4 s; peak memory 186 MiB.
2026-09-18T22:15:57Z INFO [63/369] 066ae256-4ec2-4da4-a5f2-c8e106beadcd: 291681 chunks; 610.1 s; peak memory 1132 MiB.
2026-09-18T22:15:58Z INFO [64/369] 066b83e3-abd2-4e8a-92d1-b8852b924095: 69 chunks; 0.8 s; peak memory 1132 MiB.
2026-09-18T22:16:08Z INFO [65/369] 066b97ad-c2df-44a8-a5aa-97b88f3f4170: 35715 chunks; 10.3 s; peak memory 1132 MiB.
